Keyword,Google Ads Search Volume,Google Ads CPC,Google Ads Competition,Bing Ads Search Volume,Bing Ads CPC,Bing Ads Competition
aquarium products,170,$1.05,Low,120,$0.23,High
super premium dog food,170,$3.63,Low,10,$0.05,High
dog accessories amazon,170,$0.95,Low,30,$0.05,Low
drontal dog wormer,140,$1.0,Low,10,$0.05,Medium
pet food shop,110,$1.52,High,10,$0.05,High
drontal puppy wormer,70,$0.69,Low,20,$0.05,Low
dog accessories online,50,$1.56,Low,10,$0.05,Medium
dog shampoo price,20,$0.01,Low,0,$0.05,Low
pet accessories online,20,$1.84,Low,0,$0.05,Medium
pets at home dog crates,10,$0.09,High,0,$0.05,Low
himalaya dog shampoo,10,$0.55,Low,0,$0.05,Low
pet accessories shop,10,$0.66,Low,0,$0.05,Low
